,Player,Mat,Inn,No,Runs_bat,HS,Avg_bat,BF,Sr_bat,Hund,Fif,Four,Six,Unnamed: 0,Mat,Inn,Ov,Runs,Wkts,BBI,Avg,Econ,SR,4W,5W,Maid,Dots,Catches,Run Outs,Stumping,Pts,Price,Role
146,Anuj Rawat,2,1,0,0,0,0,1,0,0,0,0,0,160,,,,,,,,,,,,,,3,0,0,7.5,80 lakhs,Wicket Keeper
147,Jimmy Neesham,3,2,0,0,0,0,2,0,0,0,0,0,42,3,3,9,66,5,3/12,13.2,7.33,10.8,0,0,,21,0,0,0,38.5,50 lakh,All-Rounder
148,Piyush Chawla,1,1,0,0,0,0,2,0,0,0,0,0,84,1,1,4,38,1,1/38,38,9.5,24,0,0,,3,,,,,6.75 crore,Bowler
149,Anrich Nortje,,,,,,,,,,,,,22,8,8,30.2,187,12,2/12,15.58,6.16,15.16,0,0,1,84,1,0,0,128.5,6.5 crore,Bowler
150,Josh Hazlewood,,,,,,,,,,,,,27,9,9,35,293,11,3/24,26.63,8.37,19.09,0,0,,87,1,0,0,128,2 crore,Bowler
151,Amit Mishra,,,,,,,,,,,,,38,4,4,14,109,6,4/24,18.16,7.78,14,1,0,,25,0,0,0,46,4 crore,Bowler
152,Lungi Ngidi,,,,,,,,,,,,,46,3,3,12,125,5,3/28,25,10.41,14.4,0,0,,25,1,0,0,45,50 lakh,Bowler
153,Riley Meredith,,,,,,,,,,,,,56,5,5,17,169,4,1/29,42.25,9.94,25.5,0,0,,38,0,0,0,52,8 crore,Bowler
154,Imran Tahir,,,,,,,,,,,,,66,1,1,4,16,2,2/16,8,4,12,0,0,,14,0,1,0,22,1 crore,Bowler
155,Umran Malik,,,,,,,,,,,,,70,3,3,12,96,2,1/21,48,8,36,0,0,,31,0,0,0,38,4 crore,Bowler
156,T Natarajan,,,,,,,,,,,,,72,2,2,8,69,2,1/32,34.5,8.62,24,0,0,,14,0,0,0,21,40 lakh,Bowler
